timestamp,cloud_provider,user_id,source_ip,action,resource,region,status,bytes_transferred,authentication_method,privilege_level,attack_type
2026-08-01 00:03:00,Azure,user_147,131.185.164.14,ReadResource,Database,East US,success,48386,Password,developer,Normal
2026-08-01 00:22:00,GCP,user_110,43.154.81.224,ListResources,IAM,europe-west1,success,16409,MFA,user,Normal
2026-08-01 00:23:00,Azure,user_199,197.94.9.159,ListResources,Storage,East US,success,43141,Password,user,Normal
2026-08-01 00:25:00,AWS,user_110,175.196.202.27,ReadResource,IAM,ap-south-1,success,14166,Password,developer,Normal
2026-08-01 00:26:00,GCP,user_191,49.79.139.76,AssumeAdminRole,Database,us-central1,failed,12496,MFA,admin,Privilege Escalation
2026-08-01 00:27:00,Azure,user_006,88.50.253.56,Login,Compute,East US,success,44829,Password,developer,Normal
2026-08-01 00:29:00,Azure,user_159,212.186.67.72,Logout,Storage,East US,success,43024,MFA,user,Normal
2026-08-01 00:30:00,Azure,user_159,97.159.204.128,Login,IAM,East US,failed,23186,Password,user,Normal
2026-08-01 00:32:00,AWS,user_054,102.216.86.172,ListResources,IAM,ap-south-1,success,15062,MFA,user,Normal
2026-08-01 00:39:00,Azure,user_058,108.75.180.168,ListResources,Storage,West Europe,failed,45007,MFA,user,Normal
2026-08-01 00:43:00,AWS,user_047,55.168.181.69,ReadResource,Compute,ap-south-1,success,41112,MFA,user,Normal
2026-08-01 00:47:00,AWS,user_049,162.101.0.149,ListResources,Database,eu-west-1,success,1729,MFA,user,Normal
2026-08-01 00:48:00,Azure,user_042,122.26.219.66,ListResources,IAM,West Europe,success,49784,MFA,developer,Normal
2026-08-01 00:50:00,Azure,user_142,73.239.88.101,Login,IAM,West Europe,failed,30721,Password,developer,Normal
2026-08-01 00:55:00,AWS,user_084,100.44.168.15,Login,IAM,eu-west-1,success,10791,Password,developer,Normal
2026-08-01 00:59:00,Azure,user_067,101.80.80.198,Logout,Database,West Europe,success,36560,MFA,user,Normal
2026-08-01 01:00:00,Azure,user_180,200.36.35.187,APIRequest,Storage,Central India,success,31465,MFA,user,Normal
2026-08-01 01:01:00,AWS,user_077,130.104.9.56,CreateAccessKey,Storage,us-east-1,failed,2610,Password,user,Credential Attack
2026-08-01 01:03:00,AWS,user_143,32.193.56.121,ReadResource,Compute,eu-west-1,success,44741,Password,developer,Normal
2026-08-01 01:09:00,AWS,user_014,111.245.217.67,LargeDataTransfer,Compute,eu-west-1,success,1605322,MFA,developer,Data Exfiltration
2026-08-01 01:16:00,GCP,user_128,31.127.145.249,APIRequest,Compute,asia-south1,success,48429,Password,user,Normal
2026-08-01 01:19:00,AWS,user_047,184.67.212.20,ListResources,Compute,ap-south-1,success,26265,MFA,user,Normal
2026-08-01 01:19:00,AWS,user_171,149.229.86.242,Login,Storage,eu-west-1,success,18568,Password,developer,Normal
2026-08-01 01:29:00,AWS,user_082,207.36.91.22,Logout,IAM,us-east-1,failed,45098,MFA,user,Normal
2026-08-01 01:29:00,Azure,user_025,126.215.4.27,CreateAccessKey,IAM,West Europe,success,5931,Password,user,Credential Attack
2026-08-01 01:34:00,AWS,user_148,69.230.229.9,DownloadData,Storage,ap-south-1,success,2710791,MFA,developer,Data Exfiltration
2026-08-01 01:35:00,Azure,user_073,164.199.52.159,APIRequest,Compute,Central India,success,46193,Password,developer,Normal
2026-08-01 01:36:00,AWS,user_087,52.39.48.104,Logout,IAM,eu-west-1,success,6480,MFA,user,Normal
2026-08-01 01:38:00,Azure,user_150,86.142.21.198,CreateAccessKey,Storage,Central India,failed,7097,Password,user,Credential Attack
2026-08-01 01:39:00,AWS,user_149,125.17.64.154,Login,Storage,eu-west-1,success,44478,MFA,user,Normal
2026-08-01 01:41:00,GCP,user_117,81.127.188.116,CrossCloudLogin,Database,europe-west1,success,4751241,Password,developer,Cross-Cloud Attack
2026-08-01 01:41:00,Azure,user_051,20.6.156.220,ReadResource,IAM,Central India,success,40608,Password,user,Normal
2026-08-01 01:47:00,Azure,user_131,80.129.130.81,ReadResource,Storage,East US,failed,30796,MFA,user,Normal
2026-08-01 01:49:00,AWS,user_017,159.111.4.145,Login,Compute,ap-south-1,success,16205,Password,user,Normal
2026-08-01 01:50:00,AWS,user_125,199.89.185.86,ReadResource,IAM,us-east-1,failed,11254,MFA,user,Normal
2026-08-01 01:54:00,AWS,user_197,90.219.240.177,ReadResource,IAM,us-east-1,success,18264,MFA,developer,Normal
2026-08-01 01:55:00,AWS,user_160,127.254.255.140,Login,Database,ap-south-1,success,38591,Password,user,Normal
2026-08-01 01:57:00,GCP,user_137,199.72.179.241,ReadResource,Compute,europe-west1,failed,29744,MFA,user,Normal
